Ime (ID),Zlato,Srebro,Bron,Skupaj
Stefan Kraft (AUT),46,37,39,122
Ryōyū Kobayashi (JPN),37,27,20,84
Sara Takanashi (JPN),35,26,16,77
Kamil Stoch (-1),33,17,18,68
Nika Prevc (SLO),46,11,10,67
Andreas Wellinger (GER),12,24,16,52
Domen Prevc (SLO),28,13,10,51
Anže Lanišek (SLO),18,21,12,51
Eva Pinkelnig (AUT),16,16,16,48
Peter Prevc (SLO),19,19,8,46
Maren Lundby (-1),26,10,6,42
Katharina Althaus (-1),13,17,12,42
Halvor Egner Granerud (-1),24,11,4,39
Dawid Kubacki (-1),12,10,15,37
Eirin Maria Kvandal (NOR),15,9,11,35
Karl Geiger (-1),10,11,13,34
Severin Freund (GER),14,11,8,33
Johann André Forfang (NOR),7,13,13,33
Anna Odine Strøm (NOR),5,14,13,32
Daniel Tschofenig (AUT),13,5,13,31
Juki Ito (JPN),10,10,10,30
Gregor Schlierenzauer (AUT),16,6,7,29
Jan Hörl (AUT),5,18,6,29
Ema Klinec (SLO),4,16,9,29
Nika Vodan (SLO),9,6,14,29
Timi Zajc (SLO),6,8,13,27
Markus Eisenbichler (GER),3,10,13,26
Anders Bardal (-1),6,8,11,25
Marius Lindvik (NOR),6,8,11,25
Silje Opseth (-1),6,12,6,24
Richard Freitag (GER),5,11,7,23
Sarah Hendrickson (-1),13,7,3,23
Nozomi Maruyama (JPN),6,8,9,23
Selina Freitag (GER),0,12,9,21
Michael Hayböck (AUT),3,7,10,20
Robert Johansson (NOR),4,6,9,19
Jacqueline Seifriedsberger (AUT),3,7,9,19
Piotr Żyła (-1),0,10,8,18
Marita Kramer (AUT),9,5,4,18
Robert Kranjec (SLO),5,3,8,16
Lisa Eder (AUT),2,7,6,15
Katharina Schmid (GER),3,6,6,15
Chiara Kreuzer (AUT),5,4,5,14
Andreas Kofler (AUT),6,3,4,13
Thomas Morgenstern (-1),2,4,7,13
Simon Ammann (-1),0,8,5,13
Daiki Ito (-1),4,4,4,12
Noriaki Kasai (-1),1,1,10,12
Daniel Huber (-1),6,3,3,12
Carina Vogt (GER),1,6,5,12
Juliane Seyfarth (-1),4,4,4,12
Alexandria Loutitt (CAN),2,4,6,12
Pius Paschke (GER),6,3,2,11
Abigail Strate (CAN),1,4,6,11
Irina Avvakumova (-1),1,2,7,10
Andreas Stjernen (-1),1,4,4,9
Stephan Leyhe (-1),2,4,3,9
Ren Nikaido (JPN),1,5,3,9
Stephan Embacher (-1),1,4,4,9
Daniela Iraschko (AUT),2,3,4,9
Urša Križnar (SLO),2,1,6,9
Anders Fannemel (NOR),2,4,2,8
Manuel Fettner (-1),0,2,6,8
Coline Mattel (FRA),1,4,3,8
Gregor Deschwanden (SUI),1,4,2,7
Anette Sagen (-1),1,1,5,7
Roman Koudelka (-1),3,1,2,6
Jurij Tepeš (SLO),2,1,3,6
Kenneth Gangnes (NOR),1,3,2,6
Philipp Raimund (-1),1,1,4,6
Martin Koch (-1),3,1,1,5
Anders Jacobsen (NOR),4,1,0,5
Rune Velta (-1),0,2,3,5
Taku Takeuchi (JPN),0,2,2,4
Jan Matura (CZE),2,1,1,4
Jernej Damjan (-1),2,1,1,4
Lovro Kos (SLO),2,0,2,4
Kristoffer Eriksen Sundal (NOR),0,1,3,4
Felix Hoffmann (GER),0,1,3,4
Joséphine Pagnier (FRA),2,1,1,4
Thea Minyan Bjørseth (NOR),0,1,3,4
Maximilian Ortner (AUT),0,1,2,3
Naoki Nakamura (JPN),0,1,2,3
Špela Rogelj (SLO),1,0,2,3
Maja Vtič (SLO),1,2,0,3
Jan Ziobro (-1),1,0,1,2
Thomas Diethart (AUT),2,0,0,2
Maciej Kot (-1),1,1,0,2
Yukiya Sato (JPN),1,0,1,2
Constantin Schmid (-1),1,0,1,2
Žiga Jelar (-1),0,1,1,2
Andrzej Stękała (-1),1,1,0,2
Daniel Andre Tande (NOR),0,1,1,2
Aleksander Zniszczoł (-1),0,0,2,2
Tomofumi Naito (JPN),1,1,0,2
Lindsey Van (-1),0,1,1,2
Jessica Jerome (-1),0,1,1,2
Ulrike Gräßler (GER),0,0,2,2
Katja Požun (SLO),0,1,1,2
Ramona Straub (GER),0,1,1,2
Frida Westman (GER),0,1,1,2
Agnes Reisch (GER),0,1,1,2
Heidi Dyhre Traaserud (NOR),0,1,1,2
Lukáš Hlava (-1),0,0,1,1
Dmitrij Vasiljev (-1),0,1,0,1
Tom Hilde (NOR),0,1,0,1
Andreas Wank (GER),0,0,1,1
Michael Neumayer (GER),0,1,0,1
Jaka Hvala (SLO),1,0,0,1
Krzysztof Biegun (POL),1,0,0,1
Marinus Kraus (GER),0,1,0,1
Anssi Koivuranta (-1),1,0,0,1
Joachim Hauer (-1),0,0,1,1
Anže Semenič (SLO),0,1,0,1
Evgenii Klimov (RUS),0,1,0,1
Junshirō Kobayashi (-1),1,0,0,1
Philipp Aschenwald (AUT),0,0,1,1
Killian Peier (SUI),0,1,0,1
Robin Pedersen (NOR),1,0,0,1
Bor Pavlovčič (-1),0,1,0,1
Clemens Aigner (AUT),0,0,1,1
